,title,text
0,Anonymous,"Хакерская группировка Anonymous известна своей анонимностью и политическими мотивами. Они выполняют кибератаки и другие действия в интернете, чтобы протестовать против правительственной и корпоративной цензуры, защиты прав на личную жизнь, свободы слова и других вопросов общественной значимости. Несколько известных кампаний, связанных с группировкой Anonymous, включают: Операция Payback: в 2010 году группировка начала кампанию против крупных компаний, в том числе Visa, MasterCard и PayPal, которые отказались обрабатывать платежи для Wikileaks. Операция Payback включала DDoS-атаки на веб-сайты этих компаний. Операция Chanology: в 2008 году группировка начала кампанию против церкви Саентологии, которую они считали культом и обвиняли в нарушении прав человека. Кампания включала кибератаки на веб-сайты церкви, а также демонстрации и протесты. Операция Syria: в 2011 году группировка начала кампанию против правительства Сирии во время гражданской войны. Они взломали правительственные веб-сайты, опубликовали конфиденциальную информацию и распространяли пропаганду. Операция AntiSec: в 2011 году группировка начала кампанию против правительственных учреждений и крупных корпораций в США и других странах. Кампания включала взломы, кражу и публикацию конфиденциальной информации, а также DDoS-атаки. Операция Tunisia: в 2011 году группировка начала кампанию в поддержку Тунисской революции, которая привела к свержению диктаторского правительства. Они взломали веб-сайты правительства и публиковали информацию о коррупции и нарушениях прав человека. Операция OpIceISIS: в 2015 году группировка начала кампанию против террористической группировки ИГИЛ. Они взломали веб-сайты, связанные с ИГИЛ, опубликовали информацию о членах группировки и распространяли пропаганду против терроризма. Операция OpIsrael: в 2013 году группировка начала кампанию против Израиля в ответ на нарушения прав человека в Палестине. Они взломали веб-сайты правительства и корпораций, опубликовали конфиденциальную информацию и распространяли пропаганду. Операция OpTrump: в 2016 году группировка начала кампанию против Дональда Трампа во время президентской кампании в США. Они взломали веб-сайты, связанные с кампанией Трампа, опубликовали конфиденциальную информацию и распространяли пропаганду против его кандидатуры. В целом, группировка Anonymous известна своими действиями, связанными с политическими мотивами и защитой прав на личную жизнь и свободу слова в Интернете. Они используют различные методы, включая взломы, кражу информации и DDoS-атаки, чтобы достигнуть своих целей."
1,Apache 2.0,"Apache 2.0 — это лицензия на программное обеспечение, разработанная и поддерживаемая Apache Software Foundation. Она позволяет пользователям использовать, модифицировать, копировать и распространять программное обеспечение как в исходном, так и в модифицированном виде. Одна из ключевых особенностей этой лицензии — требование указывать изменения, внесенные в оригинальный код, а также обязательное включение копии лицензии и уведомлений об авторских правах при распространении программного обеспечения. Лицензия Apache 2.0 также предоставляет ясное юридическое определение вкладов третьих лиц и не требует, чтобы производные работы были распространяемы под той же лицензией."
2,Legion,"Legion — проект, начатый в Университете Вирджинии в 1990-х годах с целью создания системы распределенных вычислений; программа позволяла множеству компьютеров работать вместе, как единая суперкомпьютерная система. Индивидуальный пользователь мог использовать больше вычислительной мощности, чем было доступно на его собственном устройстве. По существу, Legion применял схемы облачных вычислений задолго до того, как термин ""облако"" стал общепринятым. Сегодня Legion больше не активен, но идеи и концепции, введенные в этом проекте, повлияли на последующее развитие облачных вычислений и параллельной обработки данных."
3,Log Clipping,"Log Clipping — это процесс, применяемый в компьютерной науке и статистике, чтобы избавиться от слишком больших или слишком маленьких значений. Логарифмические значения используются в преобразовании данных для легкой интерпретации и облегчения работы модели. Однако, бывают случаи, когда при взятии логарифма получаются недопустимо большие или маленькие значения. Это может помешать дальнейшим расчетам. Такие результаты получаются, если в данных содержатся значительные выбросы, а еще если модель создает слишком большие или слишком маленькие прогнозы. Как раз для таких ситуаций можно применить Log Clipping, чтобы ""обрезать"" значения. Все результаты, которые больше или меньше определенного порога, устанавливаются равными этому порогу, что делает модель более устойчивой. Важно помнить, что Log Clipping нужно использовать с осторожностью. Если применять его бездумно, это может привести к потере важной информации в данных или модели."
4,.NET,".NET (произносится ""дотнет"") - это программная платформа, разработанная компанией Microsoft. Она предоставляет инструменты для создания и выполнения приложений на разных языках программирования, таких как C#, Visual Basic и F#. Платформа включает в себя несколько основных компонентов, включая среду исполнения .NET, библиотеки классов .NET и компиляторы языков программирования. .NET используется для создания разнообразных приложений, включая десктопные, веб- и мобильные приложения, а также игры и службы веб-серверов."
5,(PGP)TM,"(PGP)TM — аббревиатура от ""Pretty Good Privacy"" (довольно надежная конфиденциальность) — программа, разработанная для обеспечения конфиденциальности, целостности и аутентичности данных при передаче через сети. PGP использует асимметричное шифрование, то есть у него есть два ключа: публичный и приватный. Публичный ключ нужен для шифрования данных отправителем, а приватный ключ — для их расшифровки получателем. Кроме того, с помощью PGP можно создавать цифровые подписи. Такая подпись создается с использованием приватного ключа отправителя. Получатель получает возможность проверить подлинность информации и идентичность отправителя. PGP важен для защиты электронной почты, файлов и других форм информации, которые требуют конфиденциальности и безопасности."
6,/e/OS,"/e/OS - это операционная система для мобильных устройств, основанная на открытом исходном коде Android, но не содержащая Google-сервисов. Эта операционная система разработана французской компанией Murena с учётом защиты личных данных пользователей и предоставления свободы выбора и контроля. /e/OS использует собственную версию магазина приложений, который предлагает свободные и бесплатные приложения, не нарушающие конфиденциальность пользователя. Также в операционной системе встроены инструменты, которые помогают контролировать доступ приложений к личным данным, таким как контакты, фотографии, сообщения и т.д."
7,0-day,"Уязвимости нулевого дня (Zero-day, 0-day) — это программные недостатки, о которых производитель либо вообще не знает, либо знает, но ещё не успел выпустить патч для их устранения. Эти уязвимости представляют особый интерес для хакеров, так как они открывают возможности для скрытного проведения атак с низкой вероятностью обнаружения. Обычно такие уязвимости выявляются исследователями безопасности или непосредственно злоумышленниками. В первом случае информация о бреше безопасности обычно сообщается производителю для последующего исправления, во втором — уязвимость может быть эксплуатирована непосредственно в хакерских атаках."
8,01.AI,"Компания 01.AI — это новый китайский стартап в области искусственного интеллекта, основанный Кай-Фу Ли, бывшим руководителем Google в Китае. Компания была создана в июне и в короткий срок достигла оценки в 1 миллиард долларов. Основной продукт 01.AI — это открытая модель искусственного интеллекта Yi-34B, которая, по оценкам, ничем не уступает аналогичным моделям от конкурентов."
9,0patch,"0patch — это сервис микропатчей от компании ACROS Security. Сервис предназначен для обеспечения безопасности программного обеспечения путем немедленного предоставления микропатчей (небольших исправлений) для известных уязвимостей в операционных системах и приложениях. Микропатчи от 0patch позволяют временно или постоянно исправить уязвимости без необходимости ждать официального обновления от производителя или в случаях, когда официальное обновление недоступно из-за прекращения поддержки продукта."
10,1Password,"1Password - это платный менеджер паролей, который работает на многих устройствах и позволяет генерировать случайные пароли, сохранять данные для заполнения форм, хранить документы и другую информацию. Он также имеет функцию синхронизации между устройствами и поддерживает двухфакторную аутентификацию."
11,1С-Битрикс,"1С-Битрикс - это российская IT-компания, специализирующаяся на разработке программного обеспечения для управления веб-проектами и создания корпоративных интернет-решений. Она была основана в 1998 году и с тех пор стала одним из ведущих разработчиков в области веб-технологий и управления контентом в России."
12,2easy Shop,"2easy Shop - это преступная площадка для продажи похищенных данных: документов, паролей, банковских карт и прочих. Площадка является одним из конкурентов Genesis Market."
13,2FA,"2FA, или двухфакторная аутентификация, - это метод дополнительной защиты аккаунта, который помимо пароля требует ввод дополнительного кода или подтверждения при входе. Это может быть код, отправленный на мобильный телефон или электронную почту, или код, полученный с помощью мобильного приложения-аутентификатора. Это добавляет дополнительный слой безопасности, поскольку для входа нужно иметь не только пароль, но и устройство или доступ к электронной почте или мобильному телефону. Метод позволяет защитить аккаунт от несанкционированного доступа, даже если кто-то узнает ваш пароль."
